name;question_text_en;option1_en;option2_en;option3_en;option4_en;question_text_ro;option1_ro;option2_ro;option3_ro;option4_ro
Quick Time Event;How do you feel about quick time events in games?;I enjoy quick time events, they add cinematic flair and interaction to cutscenes.;I'm okay with them if they're used sparingly.;I'm not particularly fond of quick time events.;I strongly dislike quick time events, as they often break immersion and feel gimmicky.;Cum te simti in legatura cu evenimentele rapide in jocuri?;Imi plac evenimentele rapide, pentru ca adauga un flair cinematic si interactiune la scenele de taiere.;Sunt de acord cu ele daca sunt utilizate cu moderatie.;Nu sunt in mod special atasat de evenimentele rapide.;Nu imi plac deloc evenimentele rapide, deoarece deseori intrerup imersiunea si par trucate.
Remake;What is your preference for game remakes?;I love game remakes, especially if they modernize and improve upon the original.;I'm okay with them if they're faithful to the original while adding new features.;I'm not particularly interested in game remakes.;I strongly dislike game remakes, as they often feel like cash grabs.;Care este preferinta ta pentru refacerile de jocuri?;Imi plac refacerile de jocuri, mai ales daca modernizeaza si imbunatatesc originalul.;Sunt de acord cu ele daca sunt fidele originalului si adauga noi caracteristici.;Nu sunt in mod special interesat de refacerile de jocuri.;Nu imi plac deloc refacerile de jocuri, deoarece adesea par a fi doar pentru bani.
Upgradeable Vehicles;How do you feel about upgradeable vehicles in games?;I enjoy upgradeable vehicles, they add customization and gameplay depth.;I'm okay with them if they're balanced and not overpowered.;I'm not particularly interested in upgradeable vehicles.;I strongly dislike upgradeable vehicles, as they can feel unnecessary and distracting.;Cum te simti in legatura cu vehiculele upgradabile in jocuri?;Imi plac vehiculele upgradabile, pentru ca adauga personalizare si adancime in gameplay.;Sunt de acord cu ele daca sunt echilibrate si nu sunt prea puternice.;Nu sunt in mod special interesat de vehiculele upgradabile.;Nu imi plac deloc vehiculele upgradabile, deoarece pot parea inutile si distractive.
Upgradeable Weapon;What is your opinion on upgradeable weapons in games?;I love upgradeable weapons, they allow for personalization and strategic choices.;I'm okay with them if they're balanced and not too grindy.;I'm not particularly interested in upgradeable weapons.;I strongly dislike upgradeable weapons, as they can lead to power imbalances.;Care este opinia ta despre upgrade-urile armelor in jocuri?;Imi plac armele upgradabile, pentru ca permit personalizarea si alegeri strategice.;Sunt de acord cu ele daca sunt echilibrate si nu sunt prea repetitive.;Nu sunt in mod special interesat de armele upgradabile.;Nu imi plac deloc armele upgradabile, deoarece pot duce la dezechilibre de putere.
Voice Chat;How do you feel about voice chat in games?;I enjoy voice chat, it enhances communication and teamwork in multiplayer games.;I'm okay with it if it's optional and well-moderated.;I'm not particularly fond of voice chat.;I strongly dislike voice chat, as it can be toxic and disruptive.;Cum te simti in legatura cu voice chat-ul in jocuri?;Imi place voice chat-ul, pentru ca imbunatateste comunicarea si colaborarea in jocurile multiplayer.;Sunt de acord cu el daca este optional si bine moderat.;Nu sunt in mod special atasat de voice chat.;Nu imi place deloc voice chat-ul, deoarece poate fi toxic si perturbator.
Revenge;What is your opinion on revenge as a gameplay element?;I enjoy revenge mechanics, they add motivation and personal investment to the story.;I'm okay with them if they're not the main focus of the game.;I'm not particularly interested in revenge mechanics.;I strongly dislike revenge mechanics, as they can feel cliché and shallow.;Care este opinia ta despre razbunare ca element de gameplay?;Imi plac mecanicile de razbunare, adauga motivatie si implicare personala in poveste.;Sunt de acord cu ele daca nu sunt focusul principal al jocului.;Nu sunt in mod special interesat de mecanicile de razbunare.;Nu imi plac deloc mecanicile de razbunare, deoarece pot parea cliseice si superficiale.
Realism;How do you feel about realism in games?;I love realism, it enhances immersion and authenticity in gameplay.;I'm okay with it if it's balanced with fun gameplay.;I'm not particularly interested in realism.;I strongly dislike realism, as it can make games too tedious.;Cum te simti in legatura cu realismul in jocuri?;Imi place realismul, pentru ca imbunatateste imersiunea si autenticitatea in gameplay.;Sunt de acord cu el daca este echilibrat cu o gameplay distractiv.;Nu sunt in mod special interesat de realism.;Nu imi place deloc realismul, deoarece poate face jocurile prea plictisitoare.
Deathmatch;What is your preference for deathmatch mode in games?;I enjoy deathmatch mode, it offers fast-paced and competitive gameplay.;I'm okay with it if it's balanced and well-designed.;I'm not particularly fond of deathmatch mode.;I strongly dislike deathmatch mode, as it can feel repetitive.;Care este preferinta ta pentru modul deathmatch in jocuri?;Ma bucur de modul deathmatch, ofera un gameplay rapid si competitiv.;E ok pentru mine daca este echilibrat si bine proiectat.;Nu sunt in mod special in favoarea modului deathmatch.;Nu imi place deloc modul deathmatch, pentru ca poate parea repetitiv.
Apocalypse;How do you feel about games set in apocalyptic settings?;I enjoy apocalyptic settings, they offer intense survival challenges and atmosphere.;I'm okay with them if they're well-executed.;I'm not particularly interested in apocalyptic settings.;I strongly dislike apocalyptic settings, as they can feel overused.;Ce parere ai despre jocurile care au loc in decoruri apocaliptice?;Imi plac decorurile apocaliptice, ofera provocari intense de supravietuire si atmosfera.;Sunt ok cu ele daca sunt bine realizate.;Nu sunt prea interesat de decorurile apocaliptice.;Nu imi plac deloc decorurile apocaliptice, pentru ca pot parea folosite excesiv.
Survival Horror;What is your opinion on survival horror games?;I love survival horror games, the tension and fear add to the experience.;I'm okay with them if they're not too scary.;I'm not particularly interested in survival horror games.;I strongly dislike survival horror games, as they can be too stressful.;Care este opinia ta despre jocurile de supravietuire horror?;Imi plac jocurile de supravietuire horror, tensiunea si frica adauga la experienta.;Sunt ok cu ele daca nu sunt prea infricosatoare.;Nu sunt prea interesat de jocurile de supravietuire horror.;Nu imi plac deloc jocurile de supravietuire horror, pentru ca pot fi prea stresante.
Player vs Player;How do you feel about player vs player (PvP) gameplay?;I enjoy PvP gameplay, it adds competitiveness and challenge.;I'm okay with it if it's optional.;I'm not particularly interested in PvP gameplay.;I strongly dislike PvP gameplay, as it can feel unfair and toxic.;Ce parere ai despre jocurile player vs player (PvP)?;Imi place PvP-ul, adauga competitivitate si provocare.;Sunt ok cu el daca este optional.;Nu sunt prea interesat de PvP.;Nu imi place deloc PvP-ul, pentru ca poate fi perceput ca fiind nedrept si toxic.
Blocking;What is your preference for blocking mechanics in games?;I enjoy blocking mechanics, they add depth to combat and strategy.;I'm okay with them if they're balanced with other gameplay elements.;I'm not particularly interested in blocking mechanics.;I strongly dislike blocking mechanics, as they can make combat slow and tedious.;Care este preferinta ta pentru mecanicile de blocare in jocuri?;Imi plac mecanicile de blocare, adauga profunzime la lupta si strategie.;Sunt ok cu ele daca sunt echilibrate cu alte elemente de joc.;Nu sunt prea interesat de mecanicile de blocare.;Nu imi plac deloc mecanicile de blocare, deoarece pot face lupta incetinita si plictisitoare.
Ranking System;How do you feel about ranking systems in games?;I enjoy ranking systems, they add a sense of progression and competition.;I'm okay with them if they're fair and well-designed.;I'm not particularly interested in ranking systems.;I strongly dislike ranking systems, as they can lead to toxicity and elitism.;Ce parere ai despre sistemele de clasament in jocuri?;Imi plac sistemele de clasament, adauga un sentiment de progres si competitie.;Sunt ok cu ele daca sunt echitabile si bine concepute.;Nu sunt prea interesat de sistemele de clasament.;Nu imi plac deloc sistemele de clasament, deoarece pot duce la toxicitate si elitism.
Never-Ending;What is your opinion on never-ending games?;I love never-ending games, they offer infinite replayability and variety.;I'm okay with them if they're engaging and constantly updated.;I'm not particularly interested in never-ending games.;I strongly dislike never-ending games, as they can feel aimless and repetitive.;Ce parere ai despre jocurile care nu se termina niciodata?;Ador jocurile care nu se termina niciodata, ofera o rejucabilitate infinita si varietate.;Sunt ok cu ele daca sunt captivante si actualizate constant.;Nu sunt prea interesat de jocurile care nu se termina niciodata.;Nu imi plac deloc jocurile care nu se termina niciodata, deoarece pot parea lipsite de scop si repetitive.
Game Based on Literature;How do you feel about games based on literature?;I enjoy games based on literature, they offer immersive adaptations of beloved stories.;I'm okay with them if they're faithful to the source material while adding new elements.;I'm not particularly interested in games based on literature.;I strongly dislike games based on literature, as they can feel constrained by the original story.;Cum te simti in legatura cu jocurile bazate pe literatura?; Ma bucur de jocurile bazate pe literatura, ele ofera adaptari imersive ale povestilor indragite.; Sunt de acord cu ele daca sunt fidele materialelor originale si adauga elemente noi.; Nu sunt prea interesat de jocurile bazate pe literatura.; Nu-mi plac deloc jocurile bazate pe literatura, deoarece pot simti constrangerile povestirii originale.



